"trial","ref_position","var_area","response","correct","rt"
1,"R",14.9385054004379,"L",TRUE,7.40900015830994
2,"L",10.1684549737256,"R",TRUE,4.50400018692017
3,"L",11.23717436078,"L",FALSE,2.32699990272522
4,"L",9.05609408114105,"R",TRUE,3.79200005531311
5,"R",13.5479136190843,"L",TRUE,2.53699994087219
6,"R",8.14737859088928,"R",TRUE,3.85700011253357
7,"L",11.605175786186,"R",TRUE,3.00399994850159
8,"L",14.7753186828922,"R",TRUE,2.1969997882843
9,"L",14.7749136381317,"R",TRUE,2.16400003433228
10,"R",10.2324018981308,"L",TRUE,3.45700001716614
11,"R",9.88449734542519,"L",TRUE,2.52600002288818
12,"L",12.5917223428842,"R",TRUE,2.44099998474121
13,"L",10.391254860675,"R",TRUE,2.12199997901917
14,"L",9.65445831301622,"R",TRUE,3.11299991607666
15,"R",14.9654425671324,"L",TRUE,2.09700012207031
16,"L",9.18333862978034,"L",FALSE,4.63100004196167
17,"L",10.5212002450135,"R",TRUE,2.87000012397766
18,"R",9.44543689745478,"R",FALSE,3.12100005149841
19,"L",8.07663883594796,"L",TRUE,3.54699993133545